year,race,sex,average_life_expectancy,mortality
18/03/05,White,Female,49.5,2339.7
19/03/05,White,Female,50.6,2269
20/03/05,White,Female,51.4,2220.8
21/03/05,White,Female,50.4,2303.8
22/03/05,White,Female,53.3,2141.8
23/03/05,White,Female,54.2,2092.1
24/03/05,White,Female,52,2154
25/03/05,White,Female,54.9,2088.3
26/03/05,White,Female,56.2,2045.1
27/03/05,White,Female,55.7,2027.6
28/03/05,White,Female,57.5,1976.1
29/03/05,White,Female,57.5,2008.4
30/03/05,White,Female,55.2,2078.3
31/03/05,White,Female,55.3,2063.3
01/04/05,White,Female,43.2,2274.9
02/04/05,White,Female,57.4,1915.1
03/04/05,White,Female,55.6,2025.9
04/04/05,White,Female,62.9,1842.3
05/04/05,White,Female,61.9,1917.7
06/04/05,White,Female,59.6,1995.9
07/04/05,White,Female,63.4,1860.6
08/04/05,White,Female,62.4,1890.5
09/04/05,White,Female,59.6,1963.8
10/04/05,White,Female,63.9,1800.4
11/04/05,White,Female,60,1920.2
12/04/05,White,Female,60.3,1869.9
13/04/05,White,Female,63.5,1726.6
14/04/05,White,Female,64.7,1681.8
15/04/05,White,Female,64.5,1707.3
16/04/05,White,Female,66.3,1649.4
17/04/05,White,Female,64.6,1668.1
18/04/05,White,Female,65,1642
19/04/05,White,Female,61.9,1727.4
20/04/05,White,Female,63.8,1644.3
21/04/05,White,Female,66.8,1549.4
22/04/05,White,Female,66.6,1556.8
23/04/05,White,Female,66.6,1550.4
24/04/05,White,Female,68.5,1453.2
25/04/05,White,Female,69.4,1403.6
26/04/05,White,Female,65.7,1469.1
27/04/05,White,Female,68.4,1391.1
28/04/05,White,Female,69.5,1344.7
29/04/05,White,Female,70.3,1315.2
30/04/05,White,Female,70.5,1301.6
01/05/05,White,Female,71,1263.7
02/05/05,White,Female,71.9,1217.3
03/05/05,White,Female,72.2,1198
04/05/05,White,Female,72.4,1179.1
05/05/05,White,Female,72.6,1153.3
06/05/05,White,Female,73,1141
07/05/05,White,Female,73.7,1081.8
08/05/05,White,Female,73.7,1095.4
09/05/05,White,Female,73.9,1089.9
10/05/05,White,Female,73.7,1104.1
11/05/05,White,Female,73.9,1090.8
12/05/05,White,Female,74.2,1065.3
13/05/05,White,Female,74.1,1074.4
14/05/05,White,Female,74.6,1038.8
15/05/05,White,Female,74.5,1052.6
16/05/05,White,Female,74.4,1062.6
17/05/05,White,Female,74.7,1030.9
18/05/05,White,Female,74.8,1026.7
19/05/05,White,Female,74.8,1024.7
20/05/05,White,Female,75.2,992.9
21/05/05,White,Female,75,1012.2
22/05/05,White,Female,75.3,984.2
23/05/05,White,Female,75.6,944
24/05/05,White,Female,75.8,933.4
25/05/05,White,Female,75.9,932.9
26/05/05,White,Female,76.1,921.4
27/05/05,White,Female,76.7,884.2
28/05/05,White,Female,77.3,834.1
29/05/05,White,Female,77.5,828.9
30/05/05,White,Female,77.9,799.7
31/05/05,White,Female,78,796.6
01/06/05,White,Female,78.4,770.1
02/06/05,White,Female,78.1,796
03/06/05,White,Female,78.4,773.6
04/06/05,White,Female,78.7,758.6
05/06/05,White,Female,78.7,764.1
06/06/05,White,Female,78.7,760.5
07/06/05,White,Female,78.7,764.2
08/06/05,White,Female,78.8,758
09/06/05,White,Female,78.9,753.2
10/06/05,White,Female,78.9,758.7
11/06/05,White,Female,79.2,738.3
12/06/05,White,Female,79.4,728.3
13/06/05,White,Female,79.6,715.9
14/06/05,White,Female,79.8,703.9
15/06/05,White,Female,79.5,723.9
16/06/05,White,Female,79.6,717.3
17/06/05,White,Female,79.6,718.4
18/06/05,White,Female,79.7,713.3
19/06/05,White,Female,79.9,707.5
20/06/05,White,Female,80,706.9
21/06/05,White,Female,79.9,716.6
22/06/05,White,Female,79.9,715.3
23/06/05,White,Female,80,710.4
24/06/05,White,Female,80.1,709.3
25/06/05,White,Female,80.2,701.6
26/06/05,White,Female,80.5,677.7
27/06/05,White,Female,80.5,680.9
28/06/05,White,Female,80.7,662.3
29/06/05,White,Female,80.9,649.4
30/06/05,White,Female,80.9,653.7
01/07/05,White,Female,81.2,631.3
02/07/05,White,Female,81.3,630.8
03/07/05,White,Female,81.3,630.3
04/07/05,White,Female,81.4,623.8
05/07/05,White,Female,81.4,623.6
06/07/05,White,Female,81.4,617.6
07/07/05,White,Female,81.3,627
08/07/05,White,Female,81.3,619.4
09/07/05,White,Female,81.2,623.5
10/07/05,White,Female,,614.6
14/03/05,White,Male,46.6,2613.2
15/03/05,White,Male,48,2582.3
16/03/05,White,Male,50.2,2430.1
17/03/05,White,Male,49.5,2494.2
18/03/05,White,Male,46.6,2630.5
19/03/05,White,Male,47.6,2544.7
20/03/05,White,Male,47.3,2529.3
21/03/05,White,Male,46,2637
22/03/05,White,Male,49.9,2412.3
23/03/05,White,Male,50.9,2363.8
24/03/05,White,Male,48.6,2441.9
25/03/05,White,Male,51.3,2350.3
26/03/05,White,Male,51.9,2327.5
27/03/05,White,Male,50.8,2322.1
28/03/05,White,Male,52.7,2254.1
29/03/05,White,Male,53.1,2267.8
30/03/05,White,Male,50.2,2365.6
31/03/05,White,Male,49.3,2375.9
01/04/05,White,Male,37.1,2680.7
02/04/05,White,Male,54.5,2096
03/04/05,White,Male,54.4,2166.6
04/04/05,White,Male,60.8,1986.2
05/04/05,White,Male,59.1,2088.2
06/04/05,White,Male,57.1,2174.2
07/04/05,White,Male,59.8,2073.7
08/04/05,White,Male,59.3,2104.4
09/04/05,White,Male,57,2190.6
10/04/05,White,Male,60.5,2048.6
11/04/05,White,Male,57,2182.8
12/04/05,White,Male,57.2,2141.2
13/04/05,White,Male,59.7,2013.8
14/04/05,White,Male,60.8,1983.6
15/04/05,White,Male,62,1982.9
16/04/05,White,Male,62.7,1952.2
17/04/05,White,Male,60.5,2000.7
18/04/05,White,Male,61,1979.3
19/04/05,White,Male,58,2087
20/04/05,White,Male,59.3,2016.5
21/04/05,White,Male,63.2,1882.7
22/04/05,White,Male,63.3,1894.4
23/04/05,White,Male,62.1,1925.2
24/04/05,White,Male,64.4,1844.1
25/04/05,White,Male,65.9,1793.7
26/04/05,White,Male,63.2,1872.9
27/04/05,White,Male,64.5,1788
28/04/05,White,Male,64.4,1761.6
29/04/05,White,Male,65.1,1706.1
30/04/05,White,Male,65.2,1718.6
